ID,Title,Speakers,Published?,Pinned?,Start Date & Time,End Date & Time,Type/Track,Description,Venue,Physical Address,Link To Image File,Video Stream,Tags,Custom Filter 1,Custom Filter 2,Custom Filter 3,Custom Filter 4,Host Organization,Feedback Survey URL,about,Manager Emails,Collect y/n
31,New Client Tool for Developers and DBAs,Frederic Descamps,Y,N,2022-05-17 14:30:00,5.17.2022 3:20 PM,MySQL 2,"In this session, you will discover a totally new tool that we will release just before the conference. This multi-platform tool will make life easier for developers and DBAs using MySQL. It provides visual and command line capabilities that will make all MySQL users happy, from beginners to experts. If you like eye-candy material, join my talk. You won't regret it!",Classroom 105 M1,,,,,,,,,,,,,
33,Vitess VReplication: Standing on the Shoulders of a MySQL Giant,Matt Lord,Y,N,2022-05-17 14:30:00,5.17.2022 3:20 PM,MySQL,"Vitess provides a large set of features that allow you to use and manage a scalable set of MySQL database instances across custom partitions or shards of your dataset as if it was a single logical database. One of the key components used within Vitess is called VReplication. <br><br>In this talk, we'll cover what VReplication is and how it relates to MySQL replication, including how VReplication leverages the technologies you're already familiar with while expanding on them to add a set of powerful primitives and abstractions that support an ever-growing list of high-level features such as sharding and resharding of tables, materialized views, online DDL, change streams (CDC), and message or job queues. <br><br>This talk should leave a MySQL user/operator with a good understanding of what VReplication could do for them and when they may want to use it.",Classroom 104 M1,,,,,,,,,,,,,
34,How To Improve PostgreSQL Monitoring and Observability With PMM,Agustin Gallego; Charly Batista,Y,N,2022-05-17 14:30:00,5.17.2022 3:20 PM,Percona,"Percona Monitoring and Management (PMM) is a great open source tool used to monitor databases. In this talk, we'll demonstrate how to set up and use the tool to make the most out of your PostgreSQL deployments. We'll review the built-in metrics and dashboards, and how you can add your own customized ones! PMM collects data with up to one-second resolution, and it will retain it for months.<br><br>After attending the talk, you will be able to:<ul><li>Navigate the different metric dashboards</li><li>Proactively detect bottlenecks</li><li>Troubleshoot performance issues</li><li>Optimize configuration settings</li><li>Analyze query information</li></ul>",Classroom 106 M1,,,,,,,,,,,,,
35,Efficiently Deploying PostgreSQL Instances: The Evolution,Agustin Gallego,Y,N,2022-05-17 16:00:00,5.17.2022 4:50 PM,PostgreSQL 1,"We will review how to deploy PostgreSQL environments and be able to have any version of PostgreSQL running within minutes... or even seconds! You will learn what cool tools the Percona Support team uses to efficiently deploy everything from standalone servers to more complex replication and HA topologies.<br><br>After attending, you will have all the knowledge you need to start testing your applications against fully functional PostgreSQL instances... fast!<br><br>This talk is an evolution of ""Efficiently Deploying PostgreSQL Instances,"" after one year of added functionality to the tools presented in the past.",Classroom 203 M2,,,,,,,,,,,,,
36,Looking Ahead at PostgreSQL 15,Jonathan Katz,Y,N,2022-05-17 16:00:00,5.17.2022 4:50 PM,Live Streaming,"Feature freeze for PostgreSQL 15 has come and gone. What does this mean for the upcoming release? This talk explores many of the new features that will be released in the next major version of PostgreSQL and explains how they can impact your workload. Some of the features may change before general availability, but this talk will give you directional guidance on targeting PostgreSQL 15 for upgrade.",Salon 1 Zlotnik L,,,,,,,,,,,,,
37,Diagnosing Database Issues With MySQL 8.0’s Performance Schema,Robert Mandeville,Y,N,2022-05-17 16:00:00,5.17.2022 4:50 PM,MySQL 2,"You’re probably aware of the valuable query data stored in the Performance Schema, which pros use to monitor and improve query behavior. Did you know that MySQL 8.0 added additional columns to those tables and a brand-new dataset, one which includes fine-grained details of query performance and outlying executions over time?<br><br>In this breakout session, you’ll learn:<ul><li>The new query data added to MySQL’s performance tables</li><li>The new statement histogram summary</li><li>Code examples to capture and display this information</li><li>How to most effectively leverage this new dataset to improve performance</li></ul>",Classroom 105 M1,,,,,,,,,,,,,
38,MySQL at Scale: Booking MariaDB to MySQL Migration,Pep Pla; Mohammed Gaafar,Y,N,2022-05-17 16:00:00,5.17.2022 4:50 PM,Percona,"Booking has one of the largest MySQL deployments in the world. Operating thousands of servers is not trivial. To perform database upgrades and migrations in an environment like this requires careful planning and can take weeks or months.<br><br>In this session we will cover:<br><br><ul><li>The Booking MySQL architecture</li><li>Operation at scale</li><li>The problem: Migrate from MariaDB to MySQL</li><li>The process: Do not migrate, replace</li><li>The outcome: Migration completed and lessons learned</li></ul>",Classroom 106 M1,,,,,,,,,,,,,
39,Big Data. Or Just Too Much Data?,Marcos Albe,Y,N,2022-05-17 10:30:00,5.17.2022 11:20 AM,MySQL,"Do you have a multi-terabyte MySQL instance and feel it has become unmanageable? Reporting queries take longer and longer, backup storage cost is ever-increasing, and simple queries take seconds to run? Join us to understand the practical limits of MySQL, learn how to tame your data, and find out what the alternatives are.",Classroom 104 M1,,,,,,,,,,,,,
4,PBM - The Backup Open Source Tool for MongoDB,Jean da Silva; Vinicius Grippa,Y,N,2022-05-17 14:30:00,5.17.2022 3:20 PM,MongoDB 1,"Backup and restore are two of the most important things for databases. We don't often use the backup, but during a disaster situation, it is crucial to work.<br><br>In this session, we will discuss Percona Backup for MongoDB (PBM short).<br><br>We will walk through the process of taking backups and executing restores. We will also introduce the newest backup method that PBM offers, the physical backup in addition to the logical backup. After the introduction of the backup methods, we will evaluate the backup and restore times, and how to store the backup on remote backup storage.",Classroom 201 M2,,,,,,,,,,,,,
40,Solving PostgreSQL Wicked Problems: Oriole DB Inc.,Mehboob Alam; Alexander Korotkov,Y,N,2022-05-17 16:00:00,5.17.2022 4:50 PM,PostgreSQL 2,"PostgreSQL is one of the most popular DBMSes in the world. But we can see a set of wicked problems in PostgreSQL design, which came from Berkley or were added in very early development stages. Those problems are very annoying for users and aren't resolved for decades: bloat, xid wraparound, write-amplification, and more.<br><br>Miraculously, with just a small patch to PostgreSQL core extending this API, it appears possible to solve wicked PostgreSQL problems in a new engine made within an extension. This talk covers how the new engine is integrated with PostgreSQL Core and solves the wicked PostgreSQL problems.",Salon 2 Zlotnik L,,,,,,,,,,,,,
41,PostgreSQL Extensions: A Deep Dive,Jignesh Shah,Y,N,2022-05-17 17:00:00,5.17.2022 5:50 PM,PostgreSQL 1,"PostgreSQL is designed to be easily extensible. For this reason, extensions loaded into the database can function just like features that are built-in. In this session, we will learn more about the PostgreSQL extension framework and how they are built.",Classroom 203 M2,,,,,,,,,,,,,
42,Data Consistency at Scale in Meta,Junyi Lu,Y,N,2022-05-17 17:00:00,5.17.2022 5:50 PM,Live Streaming,"Meta has gone through multiple large scale MySQL rollouts like MyRocks and 8.0 migrations. To avoid the potential data inconsistency introduced by those migrations and various other small rollouts like minor version upgrades, we implemented several large scale consistency checking tools to help surface issue at early stage. In this talk, we will cover how these tools work under the hood and share some stories about how they have helped in large-scale rollouts.",Salon 1 Zlotnik L,,,,,,,,,,,,,
43,MySQL Parallel Replication: All the 5.7 and 8.0 Details (LOGICAL_CLOCK),Jean-François Gagné,Y,N,2022-05-17 17:00:00,5.17.2022 5:50 PM,MySQL 2,"To get better replication speed and less lag, MySQL implements parallel replication in the same schema, also known as LOGICAL_CLOCK. &nbsp;But fully benefiting from this feature is not as simple as just enabling it.<br><br>In this talk, I explain in detail how this feature works. I also cover how to optimize parallel replication and the improvements made in MySQL 8.0 and back-ported in 5.7 (Write Sets), greatly improving the potential for parallel execution on replicas (but needing RBR).<br><br>Come to this talk to get all the details about MySQL 5.7 and 8.0 Parallel Replication.",Classroom 105 M1,,,,,,,,,,,,,
44,Reducing Costs and Improving Performance With Data Modeling in Postgres,Charly Batista,Y,N,2022-05-17 17:00:00,5.17.2022 5:50 PM,PostgreSQL 2,"During this talk, we will explain how PostgreSQL organizes the data internally, how the Free Space Map (FSM) works, and how we can reorganize the data model to take advantage of data alignment inside blocks, reducing the size of the data in the disk and consequently in memory, which can save money and improve performance.<br><br>Understanding how PostgreSQL organizes the data internally can save you a lot of money!",Salon 2 Zlotnik L,,,,,,,,,,,,,
45,"PostgreSQL Internals for Oracle, MySQL DBAs and Beginners",Avinash Vallarapu,Y,N,2022-05-16 09:00:00,5.16.2022 12:00 PM,Tutorial,"This tutorial is focused on teaching PostgreSQL to professionals who are already experienced with Oracle or MySQL. As we discuss from the basics, even a beginner may adapt the concepts easily.<br><br>Here are the main points covered in this tutorial:<br><br><ul><li>Brief history of PostgreSQL and its features</li><li>PostgreSQL Architecture for MySQL/Oracle DBAs and beginners.</li><li>Basics of PostgreSQL including Installation, Data Directory, and Managing a Cluster.</li><li>Architecture and Internals.</li><li>MVCC, AUTOVACUUM, and Transaction ID Wraparound in PostgreSQL</li><li>User Management</li><li>Types of Indexes</li><li>Logical and Physical Backups and PITR</li><li>Declarative Partitioning.</li></ul>",Classroom 203 M2,,,,,,,,,,,,,
46,MySQL Architectures: Design the Right Solution for Your Needs,Frederic Descamps,Y,N,2022-05-16 09:00:00,5.16.2022 12:00 PM,Tutorial,"In this tutorial, we will cover the different deployment possibilities of the MySQL architecture depending on the business requirements for the data. We will also deploy some architecture and see how to evolve to the next one.<br><br>The tutorial covers the new MySQL Solutions like InnoDB ReplicaSet, InnoDB Cluster, and InnoDB ClusterSet.<br>Users will get familiar with the MySQL Shell Admin API and MySQL Router.",Classroom 104 M1,,,,,,,,,,,,,
47,PostgreSQL High Availability With Patroni,Charly Batista,Y,N,2022-05-16 09:00:00,5.16.2022 12:00 PM,Tutorial,"High availability is a key point in any modern system, and it's no different for Postgres. We will discuss some designs that can be used to implement a high available database ecosystem, and we'll see that it doesn't need to cost a liver to implement. We'll discuss restrictions, the minimum level of availability we can accept (SLA), if it's possible to implement with the budget we have, and if not, what can be done to mitigate the problem and get as close as possible.",Classroom 105 M1,,,,,,,,,,,,,
48,High Availability With Percona XtraDB Cluster,Matthew Boehm,Y,N,2022-05-16 09:00:00,5.16.2022 12:00 PM,Tutorial,"Percona XtraDB Cluster is the defacto standard when it comes to high availability with MySQL. We will cover installation and setup of Percona XtraDB Cluster (PXC), interworkings of Galera, various gotchas, and how to achieve ultimate HA by incorporating ProxySQL.",Classroom 106 M1,,,,,,,,,,,,,
49,Cloud-native MongoDB 101 Tutorial,Michal Nosek; Takis Stathopoulos,Y,N,2022-05-16 09:00:00,5.16.2022 12:00 PM,Tutorial,"Would you like to learn how to easily deploy a complete and robust MongoDB environment for your cloud-native applications on Kubernetes?<br><br>Bring your laptop! You'll get a chance to get your hands dirty with Percona Distribution for MongoDB Operator in a dedicated environment. We'll cover areas like:<br><br><ul><li>Deploying a shared MongoDB cluster from scratch</li><li>Configuring the cluster according to your needs</li><li>Connecting to the cluster</li><li>Scaling up and out</li><li>Backups and restores</li><li>Monitoring and observability</li><li>Upgrades</li></ul><br>You'll see some slides, but the goal is to have you work hands-on as much as possible.",Salon 1 Zlotnik L,,,,,,,,,,,,,
5,Enabling Full-text Search Capabilities on Amazon DocumentDB (With MongoDB Compatibility) Using Amazon OpenSearch,Kehinde Otubamowo; Douglas Bonser,Y,N,2022-05-17 16:00:00,5.17.2022 4:50 PM,MongoDB 1,"Amazon DocumentDB (with MongoDB compatibility) is a purpose-built document database service used for various NoSQL data storage use-cases within applications. As these applications evolve, you may want to gain further insights or add functionality that require you to search entire collections to find patterns related to specific words. In this talk, we show you how to integrate Amazon DocumentDB with Amazon OpenSearch so you can run full text search queries on data stored in Amazon DocumentDB.",Classroom 201 M2,,,,,,,,,,,,,
51,Mastering PostgreSQL Administration,Bruce Momjian,Y,N,2022-05-16 13:30:00,5.16.2022 4:30 PM,Tutorial,"This talk is designed for PostgreSQL administrators. &nbsp;It covers all aspects of PostgreSQL administration, including installation, security, file structure, configuration, reporting, backup, daily maintenance, monitoring activity, disk space computations, and recovery. &nbsp;It shows how to control host connectivity, configure the server, and find the query being run by each session.",Classroom 203 M2,,,,,,,,,,,,,
52,Getting Started With InnoDB Cluster in MySQL 8,Matthias Crauwels; Jakob Lorberblatt,Y,N,2022-05-16 13:30:00,5.16.2022 4:30 PM,Tutorial,"Since MySQL 5.7, InnoDB Cluster saw the light. With MySQL 8.0, the solution has matured a lot, and it has become a full-scale, high availability solution for MySQL. We will guide you in a hands-on tutorial through the setup. Bring your laptop!",Classroom 104 M1,,,,,,,,,,,,,
53,Tune PostgreSQL for Read/Write Scalability,Ibrar Ahmad; Naeem Akhtar,Y,N,2022-05-16 13:30:00,5.16.2022 4:30 PM,Tutorial,"PostgreSQL is one of the leading open-source databases. Out of the box, the default PostgreSQL configuration is not tuned for any particular workload. Nowadays, production systems have quite expensive machines, which require extra configuration. PostgreSQL provides configuration parameters to configure it accordingly. Most of the time, people configure PostgreSQL according to hardware and don’t consider the workload and type of queries. In all these three cases, there’s a different set of configurations. In this talk, users will see how to configure PostgreSQL for a Read/Write intensive load. This talk will explain every important configuration parameter with real-time examples.",Classroom 105 M1,,,,,,,,,,,,,
54,Open Source Database Performance Optimization and Monitoring With PMM,Michael Coburn,Y,N,2022-05-16 13:30:00,5.16.2022 4:30 PM,Tutorial,"This is a hands-on tutorial covering how to set up monitoring for MySQL database servers using the Percona Monitoring and Management (PMM) platform. <br>PMM is an open source database observability, monitoring, and management solution. It allows database users to observe the health of their systems, explore new patterns in database behavior, quickly troubleshoot issues, and perform database management operations no matter where they are located - on-prem or in the cloud.<br><br>You will learn about:<ul><li>Installation and configuration of PMM</li><li>Identifying and analyzing problematic queries via Query Analytics</li><li>Send Alerts using the Integrated Alerting feature</li><li>Taking backups from your MySQL and MongoDB instances</li></ul>",Classroom 106 M1,,,,,,,,,,,,,
55,Percona Platform Hands-on,Barrett Chambers; Kyle Avants,Y,N,2022-05-16 13:30:00,5.16.2022 4:30 PM,Tutorial,"This hands-on lab is designed to give attendees a full demo of the Percona Platform for each of its supported technologies. Attendees will set up their own Percona Monitoring and Management instance, link it to Percona's open source database distributions, observe metrics, and utilize management functionality of PMM. Upon completion, attendees will understand the benefits and all components of the Percona Platform.",Salon 1 Zlotnik L,,,,,,,,,,,,,
56,Let it Go! (Golang for DBAs),Pep Pla,Y,N,2022-05-16 13:30:00,5.16.2022 4:30 PM,Tutorial,"Go is the new Python. The Go programming language was designed with concurrency in mind but is also easy to learn. And it has powerful libraries that provide basic MySQL database access and advanced features.<br>These characteristics make Go the ideal language for database administrators that need to perform basic and complex tasks at scale.<br><br>In this session, we will cover:<ul><li>Basics of Go: syntax and grammar.</li><li>Concurrency: Goroutines and channels.</li><li>The database/SQL library.</li><li>&nbsp;The Go MySQL Driver.</li><li>The Go-MySQL library: A library to handle MySQL network protocol and replication.</li></ul>",Salon 2 Zlotnik L,,,,,,,,,,,,,
57,State of MariaDB,Michael Widenius,Y,N,2022-05-18 09:30:00,5.18.2022 10:20 AM,MongoDB 1,State of MariaDB,Classroom 201 M2,,,,,,,,,,,,,
58,Deploying MongoDB Sharded Clusters Easily With Terraform and Ansible,Ivan Groenewold,Y,N,2022-05-18 10:50:00,5.18.2022 11:40 AM,MongoDB 1,"Installing big clusters can be a time-consuming task. In this talk, we will see how to develop a complete pipeline to deploy MongoDB sharded clusters. By combining Terraform for the hardware provisioning and Ansible for the software installation, we can save time and provide a standardized reusable solution.",Classroom 201 M2,,,,,,,,,,,,,
59,"MongoDB Version Upgrades – Recommendations, Procedures, Paths, and Warnings",Kimberly Wilkins,Y,N,2022-05-18 11:50:00,5.18.2022 12:40 PM,MongoDB 1,"MongoDB began a new release cadence last July 2021 with MongoDB v5.0 that included many changes to internals, the core server, and the WiredTiger engine to facilitate exciting new features including time series collections, live resharding, and API versioning. Many of the features included in v5.0 were backported to the 4.4 release causing parts of the branch to break with bugs, such as carrying warnings of “not recommended for production use due to critical issues”. This session covers Percona’s recommended upgrade paths and tactics to get you safely to a supported version (4.2, 4.4, and 5.0).",Classroom 201 M2,,,,,,,,,,,,,
6,Take Your Percona Server for MongoDB to the Next Level,Prasad Venkatachar,Y,N,2022-05-17 17:00:00,5.17.2022 5:50 PM,MongoDB 1,"As organizations grow their MongoDB datasets from a few terabytes to hundreds of terabytes, they will encounter performance and Quality of Service (QoS) challenges. This results in costly architectural changes for infrastructure and software. <br><br>Avoid migrating to expensive MongoDB Enterprise License edition by leveraging Percona Distribution for MongoDB with Pliops Extreme Data Processor (XDP). This delivers a no-compromise solution for enterprise security, performance, and QoS while meeting the capacity needs. <br><br>In this session, we will cover all aspects of Percona Distribution for MongoDB plus Pliops XDP advantages over the Enterprise Edition for economically scaling capacity needs with best-in-class data protection.",Classroom 201 M2,,,,,,,,,,,,,
60,MongoDB Magical Live Resharding – Considerations and Concerns,Kimberly Wilkins,Y,N,2022-05-18 14:00:00,5.18.2022 2:50 PM,MongoDB 1,"One of the biggest pains with MongoDB has been handling problems caused by picking bad shard keys when sharding to scale out horizontally as your application needs and data size grow. Suboptimal shard keys cause performance problems relating to disk imbalance, disk I/O, and issues with CPU and memory.<br><br>MongoDB first addressed this with refinable shard keys in v4.4 and now with live resharding in v5.0. &nbsp;This highly requested feature took time, effort, changes to the core server and WiredTiger engine. However, it is not all magic and healthy bunnies coming out of the hat. Let’s take a deeper look.",Classroom 201 M2,,,,,,,,,,,,,
61,Change Streams Don't Work,Arlindo Neto,Y,N,2022-05-18 15:00:00,5.18.2022 3:50 PM,MongoDB 1,"Change streams were introduced in MongoDB 3.6 and are being used by many developers to implement simple queuing messaging solutions. I will detail how MongoDB change streams work, provide use cases where it may or may not be used, and go over the last code changes we have in the recent versions (4.4, 5.0).",Classroom 201 M2,,,,,,,,,,,,,
62,ProxySQL and the Tricks Up Its Sleeve: Ideas on How to Manage Your Database Systems,Jesmar Cannao,Y,N,2022-05-18 09:30:00,5.18.2022 10:20 AM,Partner,"ProxySQL is well-affirmed into thousands of production environments for the features we all know: multiplexing, query routing, and rewriting to name a few.<br><br>Let's go through those use cases which maybe are the least common: from keeping malicious eyes away from your production data to rebuilding your non-production environment, from stopping having hanging transactions to safely speed up logical backups in RDS, from query firewalling to changing ProxySQL configuration without a single line of SQL!<br><br>When the sky is the limit, ProxySQL gives you some boost!",Classroom 202 M2,,,,,,,,,,,,,
63,Galera Cluster State of the Union,Seppo Jaakola,Y,N,2022-05-18 10:50:00,5.18.2022 11:40 AM,Partner,"Galera Cluster has come a long way in its 15 years of existence, and it continues to have thousands of satisfied users in production. It is still the primary virtually synchronous replication solution for MySQL and MariaDB Server.<br><br>In this session, learn about the new features in Galera 4, how we have optimized the protocol for wide area networks, how we can now handle large transactions with streaming replication, and how we’ve extended the MySQL system tables for monitoring purposes. We’ve also added some synchronization functions and continue to improve on things like foreign key handling in every release.",Classroom 202 M2,,,,,,,,,,,,,
64,Git for Databases: How to Version and Collaborate on Databases with Liquibase,Robert Reeves,Y,N,2022-05-18 11:50:00,5.18.2022 12:40 PM,Partner,"Liquibase is the defacto standard for versioning your database schema. With 15 years of use by the largest enterprises, Liquibase is a proven Open Source DevOps Solution.<br><br>Now, with Liquibase Data, users can apply git-like workflows to development and test environments. See how free Open Source Liquibase can accelerate database development and cross-team deployments.",Classroom 202 M2,,,,,,,,,,,,,
65,Zero Trust Database Access Using OpenZiti and JDBC,Marcos Schejtman,Y,N,2022-05-18 14:00:00,5.18.2022 2:50 PM,Partner,"Securing your database is incredibly important and easy to get wrong. We can't go a week without hearing about another database leak. What if we could access these databases using strong identities and zero-trust principles?<br><br>That's exactly what you can do quickly and easily using OpenZiti's zero trust JDBC. Not only can you add the OpenZiti JDBC directly to your app for zero-trust access, but you can <em>also</em> add it to your favorite SQL editors and access the DB over a zero-trust overlay network with no VPN. Who wants to turn on the VPN just to run a query?",Classroom 202 M2,,,,,,,,,,,,,
66,Overcome Blast Radius Anxiety With Ultrafast Rebuilds and Performance for High-capacity SSDs,Prasad Venkatachar,Y,N,2022-05-18 15:00:00,5.18.2022 3:50 PM,Partner,"Organizations looking to address surging data storage requirements with high capacity 32TB+ SSDs are challenged by blast radius concerns. Data protection with RAID 10 uses excessive redundancy in array mirroring, wasting significant capacity, while RAID 5/6 schemes penalize storage performance. All existing technologies have extensive rebuild times that are beyond acceptable risk levels. Pliops Extreme Data Processor using new data structures and algorithms change these dynamics to increase storage reliability with higher endurance, ultrafast rebuilds, and consistent performance. The presentation discusses how to enable these capabilities, including demonstrating how quickly a high-capacity SSD can rebuild with minimal impact on performance.",Classroom 202 M2,,,,,,,,,,,,,
67,PostgreSQL High Availability: The Considerations and the Candidates,Hamid Akhtar,Y,N,2022-05-18 09:30:00,5.18.2022 10:20 AM,PostgreSQL 1,"Almost every organization that I interact with wants a high availability system for PostgreSQL. This clearly depicts an active trend toward an increase in utilizing PostgreSQL for critical business applications. In some cases, it is a move away from other major database systems like Oracle or even Teradata.<br><br>We are going to define the basic criteria for a high availability system, and have a quick glance at the current open source solutions available in the market.",Classroom 203 M2,,,,,,,,,,,,,
68,Introduction to Serverless Databases for MySQL and PostgreSQL,Krishna Sarabu; Raj Jayakrishnan,Y,N,2022-05-18 10:50:00,5.18.2022 11:40 AM,PostgreSQL 1,"Amazon Aurora Serverless brings automatic scaling to MySQL and PostgreSQL, allowing applications to instantly scale to hundreds of thousands of transactions in a fraction of a second. This session will dive into the Aurora architecture that allows this to happen. Additional topics include real-world use cases of how serverless has not only helped organizations to scale but to control costs by only paying for the database resources that are needed.",Classroom 203 M2,,,,,,,,,,,,,
69,Avoid PostgreSQL LWLock:buffer_content locks in Amazon Aurora: Tips and best practices,Yahav Biran; Sami Imseih,Y,N,2022-05-18 11:50:00,5.18.2022 12:40 PM,PostgreSQL 1,"We have seen PostgreSQL customers facing buffer_content locks caused by contention of data in high concurrency or large datasets(96vCPUs, 768GiB with 30TB). We provide a benchmark and share tips with a real-world workload that leads to buffer_lock contentions. We then propose the patterns to minimize the chance for buffer_content locks.",Classroom 203 M2,,,,,,,,,,,,,
7,Building Fast ClickHouse Analytics for MySQL Transaction Data Using Kubernetes,Robert Hodges; Kanthi Subramanian,Y,N,2022-05-17 11:30:00,5.17.2022 12:20 PM,Partner,"MySQL servers routinely process hundreds of thousands of transactions per second on busy web properties. Analyzing those transactions is a different matter: For that, you need an analytic database like ClickHouse with column storage, efficient data compression, and parallel query. In this talk, we'll show how to set up a Kubernetes-based analytic service based on Debezium, Kafka, and ClickHouse. We'll discuss management options for each component, and also discuss options to represent transactional data in ClickHouse. All components are open source and the pipeline can run on any Kubernetes implementation.",Classroom 202 M2,,,,,,,,,,,,,
70,Common Possible Preventative Measures To Avoid Locking Issue in PostgreSQL,Naveed Shaikh,Y,N,2022-05-18 14:00:00,5.18.2022 2:50 PM,PostgreSQL 1,"In our day-to-day tasks, we encountered locking issues in the PostgreSQL database. To avoid locking issues, we have some best practices and possible preventative measures. It also adds a positive impact on the overall performance of the database.",Classroom 203 M2,,,,,,,,,,,,,
72,Best Practices for MySQL High Availability in 2022,Colin Charles,Y,N,2022-05-18 09:30:00,5.18.2022 10:20 AM,MySQL,"The MySQL world is full of trade-offs, and choosing a High Availability (HA) solution is no exception. This session aims to look at all of the alternatives in an unbiased nature. Preference is, of course, only given to open source solutions.<br><br>While the landscape will be covered, including but not limited to replication, the focus of the talk will be what is recommended for today, and what to look out for. Thus, this will include deep-dive coverage of ProxySQL and MySQL InnoDB Cluster in 8.0, and Galera Cluster variants like Percona XtraDB Cluster and MariaDB Galera Cluster.",Classroom 105 M1,,,,,,,,,,,,,
73,"MySQL Failover for Asynchronous replication with Orchestrator, ProxySQL and Consul",Yunus Shaikh,Y,N,2022-05-18 10:50:00,5.18.2022 11:40 AM,MySQL,I would like to present on how the failover works along with orchestrator and ProxySQL. How the orchestrator hook is responsible to update the required changes in ProxySQL without any manual intervention.,Classroom 105 M1,,,,,,,,,,,,,
74,Building Database Using Terraform in AWS for Maximal Isolation Usability,David Murphy,Y,N,2022-05-18 11:50:00,5.18.2022 12:40 PM,MySQL,"In this session, we will cover:<ul><li>Separating DB accounts</li><li>Using PrivateLink for both EC2 and RDS based systems</li><li>Planning your Route53 design</li><li>Planning SGs</li><li>Using SessionManager to avoid VPN's and Bastions</li></ul>",Classroom 105 M1,,,,,,,,,,,,,
75,Venmo's Experiences With Aurora Failovers Using ProxySQL,Kushal Shah; Yashada Jadhav,Y,N,2022-05-18 14:00:00,5.18.2022 2:50 PM,MySQL,"Venmo's Aurora database clusters are the centerpiece of its success.<br><br>As a follow up to our 2021 talk Venmo's Aurora Upgrades With Open Source Tools, we dive deeper into the failover aspect of running Aurora at scale and achieving virtually no downtime switchover/rollback.<br><br>We will discuss:<ul><li>Our motivations for choosing ProxySQL,</li><li>Our Infrastructure as Code implementation for ProxySQL</li><li>Our recipes for a painless failover</li><li>3 Ps of a successful failover - People, Process and Product</li><li>What went well for us and what could go better.</li></ul>We hope sharing our experiences will enrich yours.",Classroom 105 M1,,,,,,,,,,,,,
76,ProxySQL Cluster: Challenges and Solutions To Synchronize Configuration Across Multiple Decentralized Cluster Nodes,Rene Cannao,Y,N,2022-05-18 15:00:00,5.18.2022 3:50 PM,MySQL,"As a reverse proxy for MySQL databases, ProxySQL is being used in various infrastructure sizes, and it is not surprising to see deployments with thousands of nodes running. Such large deployments introduce some interesting challenges because nodes can be initialized or destroyed at any time.<br><br>This session will describe the challenges in configuring such large deployments of nodes, the most common external tools to configure ProxySQL, and then focus on improved ProxySQL native clustering solutions that allow auto-discovery, bootstrap, and a distributed decentralized reconfiguration.",Classroom 105 M1,,,,,,,,,,,,,
77,MySQL in the Cloud: DBaaS vs Kubernetes,Michal Nosek,Y,N,2022-05-18 09:30:00,5.18.2022 10:20 AM,Percona,"Applications in the cloud on Kubernetes are very common these days. Most of the time, they need a database (like MySQL). There are two often considered alternatives:<br>1. Use DBaaS - for example, Google CloudSQL for MySQL<br>2. Deploy the database on Kubernetes with the application<br><br>We'll compare those approaches from different angles to clarify differences. You'll be better equipped to decide how to run MySQL for your cloud-native application. We'll focus on Google CloudSQL and Percona Distribution for MySQL Operator on Google Kubernetes Engine (GKE). &nbsp;Still, most of the knowledge is universal across cloud platforms and DBaaS solutions.",Classroom 106 M1,,,,,,,,,,,,,
78,"External Authentication 101 With Percona Server for MySQL, MongoDB and PostgreSQL and PMM",Jaime Sicam,Y,N,2022-05-18 10:50:00,5.18.2022 11:40 AM,Percona,"As a support engineer in Percona, we've come across tickets that deal with integrating Percona Server and Percona Monitoring and Management (PMM) with external authentication backends such as OpenLDAP, Windows AD, Centrify, Auth0, and recently, Okta. In support, we do not have access to some of these products so we need to be creative on how to troubleshoot these. <br><br>I will share my experience in setting up and troubleshooting:<br><br>1. Sandbox for external authentication with Samba AD and OpenLDAP with Vagrant/Ansible<br>2. External authentication with Percona Server for MySQL, MongoDB and PostgreSQL<br>3. LDAP, Auth0 and Okta integration with PMM",Classroom 106 M1,,,,,,,,,,,,,
79,High Availability and Disaster Recovery Made Easy With MySQL InnoDB ClusterSet,Leonardo Bacchi Fernandes,Y,N,2022-05-18 11:50:00,5.18.2022 12:40 PM,Percona,"The InnoDB Cluster is a great HA solution that often is deployed alongside asynchronous replication to achieve a multi-datacenter Disaster Recovery. With 8.0.27 MySQL shell, this was greatly simplified with the release of MySQL InnoDB ClusterSet.<br><br>In this session, we will look at the MySQL InnoDB ClusterSet and how it can simplify managing the MySQL InnoDB Cluster disaster recovery. We will walk through the process of setting it up, managing multiple clusters, and how to perform a switchover/failover. Lastly, we will discuss its use cases and limitations.",Classroom 106 M1,,,,,,,,,,,,,
8,How ZNS SSD's Are Changing the Landscape,Rick Vasquez,Y,N,2022-05-17 13:30:00,5.17.2022 2:20 PM,Partner,"There is a new technology emerging in the world of storage called ZNS. Find out how it's been integrated into applications you are currently using or potentially could use, and where the ecosystem is headed.",Classroom 202 M2,,,,,,,,,,,,,
